"reportNbr","offenseCode","offenseDsc","locationName","latitudeCrd","longitudeCrd","firstReportDtm"
"161030085","TREPASS","TRESPASSING","35XX WILSON","38.88321898","-77.10202225","2016-10-30T18:42:00"
"161030080","DRUNK","DRUNKENNESS","19TH ST & N MONROE ST N","38.89339682","-77.10561878","2016-10-30T16:08:00"
"161030082","DRUNK","DRUNKENNESS","2020XX 14TH ST N","38.89047328","-77.08156947","2016-10-30T16:05:00"
"161030079","NARCOTIC","DANGEROUS DRUGS - OTHER","12XX S JOYCE ST","38.86454093","-77.06335123","2016-10-30T15:21:00"
"161030077","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","6TH RD & S CARLIN SPRINGS RD S","38.85944553","-77.1300557","2016-10-30T14:55:00"
"161030075","ASSAULT","ASSAULT - OTHER","40XX 5TH RD N","38.87578324","-77.10887294","2016-10-30T14:37:00"
"161030074","LARCENY","LARCENY - OTHER","16XX 26TH ST S","38.84834471","-77.07317523","2016-10-30T14:29:00"
"161030076","FRAUD","FRAUD ILLEGAL USE OF CREDIT CARDS","26XX S WAYNE CT","38.84440231","-77.07779767","2016-10-30T14:27:00"
"161030069","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","ARMY NAVY ST & S HAYES DR","38.86435845","-77.05671635","2016-10-30T11:03:00"
"161030070","FNDBODY","DEATHS NATURAL CAUSES","37XX LEE","38.89652481","-77.10527124","2016-10-30T10:59:00"
"161030065","BURGLARY","BURG RESIDENCE-NO FORCE-UNK","25XX S KEMPER CT","38.84631461","-77.086697","2016-10-30T07:42:00"
"161030063","DRUNK","DRUNKENNESS","15XX N PIERCE ST","38.89277716","-77.07427265","2016-10-30T06:01:00"
"161030055","SMPLASLT","SIMPLE ASSAULT NON FAMILY","40XX 5TH RD N","38.87819174","-77.10613924","2016-10-30T05:04:00"
"161030043","SMPLASLT","SIMPLE ASSAULT FAMILY","37XX COLUMBIA PK","38.86127552","-77.09668342","2016-10-30T04:14:00"
"161030033","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","X AT","38.86781202","-77.05300062","2016-10-30T03:43:00"
"161030027","CONTRIB","CONTRI.TO THE DELINQUENCY OF MINOR","74XX I66 EAST","38.89411482","-77.06572925","2016-10-30T03:40:00"
"161030028","BURGLARY","BURGLARY - OTHER","26XX N ROOSEVELT ST","38.89652549","-77.1541689","2016-10-30T03:25:00"
"161030038","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86322546","-77.05253538","2016-10-30T02:51:00"
"161030052","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86555345","-77.05306084","2016-10-30T02:51:00"
"161030030","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86572326","-77.053089","2016-10-30T02:51:00"
"161030046","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86331341","-77.05613433","2016-10-30T02:51:00"
"161030042","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86557796","-77.05541686","2016-10-30T02:51:00"
"161030047","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86335966","-77.05649672","2016-10-30T02:51:00"
"161030048","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86354891","-77.05339032","2016-10-30T02:51:00"
"161030050","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86638185","-77.0527561","2016-10-30T02:51:00"
"161030051","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86603948","-77.05357548","2016-10-30T02:51:00"
"161030056","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86582759","-77.05272998","2016-10-30T02:51:00"
"161030057","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86410989","-77.0533022","2016-10-30T02:51:00"
"161030058","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86399566","-77.05242552","2016-10-30T02:51:00"
"161030053","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86400623","-77.05617106","2016-10-30T02:51:00"
"161030060","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86343264","-77.05583964","2016-10-30T02:51:00"
"161030044","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86319419","-77.05247068","2016-10-30T02:51:00"
"161030045","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86564606","-77.05571227","2016-10-30T02:51:00"
"161030034","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86403489","-77.05528389","2016-10-30T02:51:00"
"161030035","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.8638266","-77.05365669","2016-10-30T02:51:00"
"161030036","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86373806","-77.05307899","2016-10-30T02:51:00"
"161030037","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86331954","-77.05364166","2016-10-30T02:51:00"
"161030025","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86627666","-77.05304172","2016-10-30T02:51:00"
"161030010","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86340949","-77.0531985","2016-10-30T02:51:00"
"161030011","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86588905","-77.05286542","2016-10-30T02:51:00"
"161030016","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86390168","-77.05527049","2016-10-30T02:51:00"
"161030020","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86566579","-77.05302642","2016-10-30T02:51:00"
"161030022","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86397322","-77.05646071","2016-10-30T02:51:00"
"161030023","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86372244","-77.05336576","2016-10-30T02:51:00"
"161030021","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86549836","-77.05539931","2016-10-30T02:51:00"
"161030017","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86315104","-77.05264071","2016-10-30T02:51:00"
"161030018","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.8641504","-77.05581035","2016-10-30T02:51:00"
"161030019","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.865678","-77.05545201","2016-10-30T02:51:00"
"161030014","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86609649","-77.05536292","2016-10-30T02:51:00"
"161030015","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86616591","-77.05588171","2016-10-30T02:51:00"
"161030008","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86541286","-77.05528637","2016-10-30T02:51:00"
"161030009","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86548574","-77.05541263","2016-10-30T02:51:00"
"161030029","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86565817","-77.05256619","2016-10-30T02:51:00"
"161030040","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86599131","-77.05312934","2016-10-30T02:51:00"
"161030041","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86371287","-77.05251878","2016-10-30T02:51:00"
"161030031","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86543975","-77.05513269","2016-10-30T02:51:00"
"161030032","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86624511","-77.05513614","2016-10-30T02:51:00"
"161030061","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86624935","-77.05336577","2016-10-30T02:51:00"
"161030054","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86346787","-77.05372581","2016-10-30T02:51:00"
"161030039","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86370871","-77.05352888","2016-10-30T02:51:00"
"161030026","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86613288","-77.05642347","2016-10-30T02:51:00"
"161030059","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86407082","-77.05362901","2016-10-30T02:51:00"
"161030024","PUBLORDR","MISC PUBLIC ORDER CRIMES","5XX ARMY NAVY DR","38.86577462","-77.05554033","2016-10-30T02:51:00"
"161030006","SMPLASLT","SIMPLE ASSAULT NON FAMILY","41XX FAIRFAX DR","38.88064733","-77.11141903","2016-10-30T02:20:00"
"161030004","LARCENY","LARCENY - OTHER","11XX ARMY NAVY DR","38.86603046","-77.06304404","2016-10-30T01:04:00"
"161030002","PUBPEACE","PUBLIC PEACE - OTHER","45XX 2ND ST N","38.87064142","-77.1103994","2016-10-30T00:37:00"
"161030001","DISORDER","DISORDERLY CONDUCT","30XX COLUMBIA PK","38.86286119","-77.08693812","2016-10-30T00:01:00"
